Ticker,Company_Name,Total_Score,Score_Size,Score_FCFP,Market_Cap,Enterprise_Value,BM_Ratio,FCF_Yield,ROA,EBITDA_Margin,Asset_Growth,EBITDA_Growth,Inv_Dummy,Price_Range,Data_Quality_Flag
7915.T,ＮＩＳＳＨＡ,50.27,24.9,27.9,60182142976.0,96780959744.0,1.897024505184679,-0.0053691174162551645,,,0.15114320206744916,,,0.47619047619047616,
7857.T,セキ,50.18,87.9,28.9,5623348224.0,2748513536.0,2.7622331716372113,-0.0022940069663379254,0.014965015118551441,0.07112472822868629,0.008680257247355114,-0.18884427728742098,1.0,0.6481481481481481,
7687.T,ミクリード,50.1,91.8,54.3,2963159296.0,1853572352.0,0.4694313943491751,0.04150974946437709,0.11096774193548387,0.06360684769775679,0.12536302032913843,0.09390862944162437,1.0,0.30985915492957744,
7781.T,平山ホールディングス,50.07,79.2,77.5,11763666944.0,6075640320.0,0.37939232904552384,0.09262630140644688,,,0.2155174646865215,,,0.8702490170380078,
8226.T,理経,49.68,73.3,18.0,7907431936.0,7849847296.0,0.6776067177519617,-0.04634450261046167,0.05965718506853087,0.05590448299743931,0.07560674435879733,0.8926073302972725,0.0,0.7191011235955056,
7711.T,助川電気工業,49.53,38.4,31.1,40699731968.0,48446664704.0,0.12015462420845788,0.0005754583351658106,0.10527147100415332,0.23142300076573755,0.07215239957010114,0.17100339065866135,0.0,0.5534158642824393,
7727.T,オーバル,49.53,59.1,71.6,16432690176.0,16410827776.0,0.965490606229026,0.07494226367138683,0.042043215843811606,0.13731734908880874,0.04445013662148806,-0.04226971641290222,1.0,0.8116438356164384,
7745.T,Ａ＆Ｄホロンホールディングス,49.49,28.8,67.9,71289348096.0,72261165056.0,0.5990796821776003,0.06396467525357913,0.09373233823635968,0.16724058256190094,-0.041410829883588476,0.10662852633655553,0.0,0.8295380611581002,
8316.T,三井住友フィナンシャルグループ,49.26,99.8,50.0,19422183948288.0,-29214864572416.0,0.7570827791122906,,0.0038461154828173636,,0.03741172409320479,,,0.6785282664160065,
7919.T,野崎印刷紙業,49.14,79.7,10.4,3454915328.0,5619424768.0,1.2758952337485476,-0.11539993376069216,0.04893070045302941,0.09405607085628256,-0.007538523150720427,0.057799403658784144,0.0,0.7373737373737373,
7953.T,菊水化学工業,48.97,90.6,49.1,4990345216.0,2080839552.0,1.9072906959389,0.03424632818027473,0.01023198156019485,0.03196570234028813,-0.1032285828370528,-0.2887402545392133,1.0,0.7866666666666666,
8022.T,美津濃,48.92,13.5,35.6,261452546048.0,246682845184.0,0.59799761893042,0.011065105479863543,0.06976871919040274,0.10442923419393763,0.05980082560841325,0.07192278124199197,0.0,0.5753899480069324,
8291.T,日産東京販売ホールディングス,48.92,45.2,50.0,30919729152.0,32807270400.0,1.8319371337810093,,0.04441651816524346,0.06986335228275838,0.02937091113443819,-0.33608482652170996,1.0,0.71875,
7643.T,ダイイチ,48.91,55.5,77.0,18981945344.0,19519981568.0,0.9068670090466361,0.08703665646799578,0.03582634010831613,0.04031497844346902,0.04343211783606504,-0.12526443189320033,1.0,0.5946704067321178,
7702.T,ＪＭＳ,48.87,47.9,9.1,10720020480.0,27407943680.0,3.809134513892272,-0.14673479429770642,0.001092936437764024,0.06866048258756398,-0.038685381718589526,0.17406227016425593,0.0,0.367816091954023,
7472.T,鳥羽洋行,48.85,82.9,16.3,15511349248.0,3968709376.0,1.352698444508649,-0.05448758753910303,0.04007477859617264,0.05992159923395484,-0.043449986261214726,0.1327035049970866,0.0,0.7598425196850394,
7483.T,ドウシシャ,48.79,29.9,69.4,122003136512.0,68478050304.0,0.7189979086428817,0.07045310700806912,0.0627927027609586,0.08825775195499345,-0.0061829972444279995,0.09067245119305857,0.0,0.824805339265851,
8143.T,ラピーヌ,48.78,92.5,0.7,472756416.0,1706571264.0,1.7859556664377454,-0.986366306660553,-0.04250471675468864,-0.0484549369037847,-0.11493500578686694,0.6641766487887454,0.0,0.0881057268722467,要確認: 大幅なFCF赤字
7729.T,東京精密,48.67,8.4,45.4,595267158016.0,550710214656.0,0.29427123206970485,0.031229675196528018,0.10774021651425497,0.26326942750474974,0.05510721697025594,0.23511079253280145,0.0,0.6969820888198249,
7867.T,タカラトミー,48.63,14.6,50.6,246199599104.0,210628018176.0,0.4321574868001943,0.03683596574894933,0.09863063280448815,0.12983795232481468,-0.002899213242547458,0.38120137737533477,0.0,0.10678642714570859,
