Ticker,Company_Name,Sector,Total_Score,Score_Size,Score_FCFP,Market_Cap_Billion,Enterprise_Value,BM_Ratio,FCF_Yield_Pct,ROA,EBITDA_Margin,Asset_Growth,EBITDA_Growth,Inv_Dummy,Price_Range_Pct,Momentum_6M_Pct,Score_Momentum,Data_Quality_Flag
CALX,Calix,Information Technology,55.13,81.3,29.7,2.22B,2038529024.0,0.38723599381797535,2.77%,0.016895255837856938,0.03869961300386996,0.12696602776420338,2.6479305058763414,0.0,3.46%,-32.26%,93.6,
ALGT,Allegiant Travel Company,Industrials,55.01,45.7,72.3,2.14B,3925007104.0,0.49196811210526536,9.09%,-0.01061837539355362,0.12542953810339147,-0.049765082498222854,4.372122446967581,0.0,31.81%,-28.38%,92.3,
HOPE,"Hope Bancorp, Inc.",Financials,54.93,85.1,71.7,1.78B,1780012160.0,1.282215352715707,8.51%,0.003323399684409776,,0.0866434447550394,,,86.43%,17.66%,30.9,金融・不動産セクター特化評価
CUBI,"Customers Bancorp, Inc.",Financials,54.7,96.2,83.0,2.66B,860257088.0,0.793854911239426,12.52%,0.009001011734156045,,0.11599421935597701,,,78.04%,10.06%,41.2,金融・不動産セクター特化評価
AMN,"Amn Healthcare Services, Inc.",Health Care,54.69,86.3,97.0,1.29B,1705231872.0,0.4972716590769208,34.52%,-0.045700625612731346,0.037037403279850896,-0.13313590484355228,0.42221472168312096,0.0,82.56%,105.04%,2.3,要確認: FCF異常値(>30%)
HAFC,Hanmi Financial Corporation,Financials,54.59,96.8,94.0,0.94B,771235904.0,0.8446614995383511,21.6%,0.009669235124094807,,0.024910376175854804,,,84.04%,20.96%,27.7,金融・不動産セクター特化評価
KFY,Korn/Ferry International,Industrials,54.53,44.4,56.7,4.23B,4021590272.0,0.46598227309231605,6.1%,0.06825320755682478,0.17262809577624488,0.05271696228967809,0.13854413078314579,0.0,65.27%,31.1%,19.6,
ARR,Armour Residential REIT,Real Estate,54.4,1.0,50.0,2.24B,20116402176.0,1.0109610866313732,,0.015362273620494851,,0.5504304598635675,,,34.15%,-3.97%,62.4,金融・不動産セクター特化評価
AAT,American Assets Trust,Real Estate,54.29,63.5,54.3,1.67B,2846368512.0,0.6900176229384583,5.88%,0.024431104763808692,0.6363352926612319,-0.1075617903900115,0.014176519591365476,0.0,45.82%,23.5%,25.4,金融・不動産セクター特化評価
ALHC,"Alignment Healthcare, Inc.",Health Care,54.21,76.2,62.0,2.62B,2244546304.0,0.06853732155408766,7.21%,-0.000679310856025506,0.011477899541598174,0.362787908391012,1.5852584548236721,0.0,1.73%,-37.11%,94.9,
